guard,result,details
work_scope_limited_to_thermal_project,PASS,only examples/TM_comsol_thermal_micro changed
no_thermal_project_untouched,PASS,git diff --name-only for examples/TM_comsol_no_thermal_micro is empty
train_mixed_tm_unmodified,PASS,no train_mixed_tm.py changes
strong_residual_not_primary_loss,PASS,USED_STRONG_RESIDUAL_AS_PRIMARY_LOSS remains false
primary_loss_preserved,PASS,PRIMARY_LOSS remains thermal_functional_area_weighted_mean
damage_dependent_conductivity_not_added,PASS,no damage-dependent conductivity API or active source tokens introduced
mechanics_coupling_not_added,PASS,no solved-temperature mechanics coupling implemented
fracture_heat_training_not_added,PASS,no heat-fracture or phase-field heat training added
prescribed_temperature_fallback_preserved,PASS,prescribed thermal strain fallback tests pass
broad_runs_not_executed,PASS,no D0040 seed shear S0110 transient production or bottom-cooling production run
