guard,result,details
work_scope_limited_to_thermal_project,PASS,only examples/TM_comsol_thermal_micro changed
no_thermal_project_untouched,PASS,git diff --name-only for examples/TM_comsol_no_thermal_micro is empty
default_off,PASS,new flag defaults false
local_adapter_import_only,PASS,no module-level thermal_mechanics_adapter import
prescribed_thermal_conflicts_rejected,PASS,temperature delta_T and non-off thermal mode rejected
fixed_h1_only,PASS,source mode case evaluation location bounds and temperatures validated
malformed_bounds_rejected,PASS,bounds shape must match fixed 2x2 shape
strong_residual_not_training_objective,PASS,no heat residual loss added
damage_dependent_conductivity_not_added,PASS,no damage-dependent conductivity API or active source tokens introduced
heat_fracture_not_added,PASS,no heat-fracture diagnostics or fracture heat training added
broad_runs_not_executed,PASS,no D0040 seed shear S0110 transient production or bottom-cooling production run
