item,value
package,20260703_solved_temperature_mechanics_bridge
classification,solved-temperature mechanics bridge implemented and tests passed
scope,examples/TM_comsol_thermal_micro only
new_module,examples/TM_comsol_thermal_micro/thermal_solution_bridge.py
new_tests,examples/TM_comsol_thermal_micro/tests/test_solved_temperature_mechanics_bridge.py
bridge_function,evaluate_temperature_source_at_coords_mm
bridge_delta_function,temperature_increment_from_reference
bridge_mechanics_input_function,build_thermal_strain_input_from_temperature
coupled_heat_mechanics_training,false
strong_residual_training_objective,false
mechanics_defaults_changed,false
train_mixed_tm_modified,false
no_thermal_baseline_touched,false
