guard,result,details
work_scope_limited_to_thermal_project,PASS,only examples/TM_comsol_thermal_micro changed
no_thermal_project_untouched,PASS,git diff --name-only for examples/TM_comsol_no_thermal_micro is empty
train_mixed_tm_unmodified,PASS,no train_mixed_tm.py changes
training_entrypoint_unmodified,PASS,README guard test verifies smoke runner is not imported by train_mixed_tm
script_remains_opt_in,PASS,README documents explicit direct command only
strong_residual_not_training_objective,PASS,documentation stage adds no residual training objective
damage_dependent_conductivity_not_added,PASS,documentation explicitly says no damage-dependent conductivity
heat_fracture_not_added,PASS,documentation explicitly says no heat-fracture diagnostics
broad_runs_not_executed,PASS,documentation explicitly excludes D0040 seed shear S0110 transient and bottom-cooling production studies
material_l0_history_reaction_boundary_unchanged,PASS,no material l0 history reaction boundary route changes
