deleted_path,file_or_dir,reason,matched_rule
.codex_resources_true_staggered_full.json,file,temporary agent resource marker,generated debug CSV/NPZ/output file to delete
.pytest_cache,dir,cache folder,cache folder to delete
__pycache__,dir,cache folder,cache folder to delete
alpha_init_intact_final_comparison.csv,file,root generated diagnostic summary,generated debug CSV/NPZ/output file to delete
alpha_init_intact_stepwise_comparison.csv,file,root generated diagnostic summary,generated debug CSV/NPZ/output file to delete
analyze_drive_broadening_stepwise.py,file,one-off root diagnostic script,one-off debug script to delete
coordnorm2x2_runlogs,dir,root log directory,generated log folder to delete
corrected_reaction_postprocess.py,file,old user-facing wrapper replaced by functional script name,obsolete compatibility wrapper to delete or deprecate
debug_alpha_eq_current_intact_mechanics.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_alpha_eq_elastic_only_He_current.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_alpha_eq_history_intact_mechanics.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_alpha_eq_history_intact_topu_free_mechanics.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_alpha_equilibrium_from_drive.py,file,one-off root debug script,one-off debug script to delete
debug_alpha_initial_state.py,file,one-off root debug script,one-off debug script to delete
debug_alpha_initial_state_default.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_alpha_initial_state_intact.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_boundary_notch_lips.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_boundary_notch_lips.py,file,one-off root debug script,one-off debug script to delete
debug_boundary_topu_fixed.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_boundary_topu_free.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_coord_normalization_mechanics_validation.py,file,one-off root debug script,one-off debug script to delete
debug_elastic_only_pinn.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_elastic_only_pinn.py,file,one-off root debug script,one-off debug script to delete
debug_elastic_only_pinn_fields.npz,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_exact_fe_elastic_solve.py,file,one-off root debug script,one-off debug script to delete
debug_exact_fe_target_prefit.py,file,one-off root debug script,one-off debug script to delete
debug_fedof_energy_baseline.py,file,one-off root debug script,one-off debug script to delete
debug_fedof_energy_baseline_alpha_train.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_fedof_energy_baseline_alpha_train_fields.npz,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_fedof_energy_baseline_alpha_zero.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_fedof_energy_baseline_alpha_zero_fields.npz,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_fedof_energy_baseline_alpha_zero_topufree.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_fedof_energy_baseline_alpha_zero_topufree_fields.npz,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_fedof_staggered_baseline.py,file,one-off root debug script,one-off debug script to delete
debug_fixed_uv_alpha_only.py,file,one-off root debug script,one-off debug script to delete
debug_fixed_uv_alpha_only_elastic_no_prox.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_fixed_uv_alpha_only_elastic_no_prox_fields.npz,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_fixed_uv_alpha_only_elastic_prox_eta0p01.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_fixed_uv_alpha_only_elastic_prox_eta0p01_fields.npz,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_fixed_uv_alpha_only_history_intact_no_prox.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_fixed_uv_alpha_only_history_intact_no_prox_fields.npz,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_global_anchor_energy_continuation.py,file,one-off root debug script,one-off debug script to delete
debug_mechanics_only_notch_ansatz.py,file,one-off root debug script,one-off debug script to delete
debug_pinn_prefit_fedof_mechanics.py,file,one-off root debug script,one-off debug script to delete
debug_prefit_then_energy_mechanics.py,file,one-off root debug script,one-off debug script to delete
debug_recompute_current_split.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_recompute_current_split_alpha_init_intact_D0020_seed2.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_recompute_he_current.py,file,one-off root debug script,one-off debug script to delete
debug_recompute_history.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_recompute_history_alpha_init_intact_D0020_seed2.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_recompute_history_alpha_intact_topu_free_D0020_seed2.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_recompute_stage2_smoke.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_stage6_current_l0_1p5em4.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_stage6_current_l0_2p0em4.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_stage6_current_l0_2p5em4.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_stage6_current_l0_3p0em4.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_stage6_history_l0_1p5em4.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_stage6_history_l0_2p0em4.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_stage6_history_l0_2p5em4.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_stage6_history_l0_3p0em4.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_stage6_splitgrad_l0_1p5em4.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_stage6_splitgrad_l0_2p0em4.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_stage6_splitgrad_l0_2p5em4.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_stage6_splitgrad_l0_3p0em4.csv,file,root debug output,generated debug CSV/NPZ/output file to delete
debug_step0_root_cause.py,file,one-off root debug script,one-off debug script to delete
full_D0020_default_unitbox_5seed_logs,dir,root log directory,generated log folder to delete
full_D0020_unitbox_logs,dir,root log directory,generated log folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_checkpointed_D0020_seed13_history_default_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed13_history_default_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed13_history_default_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_1_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_gradient_numerical_full_seed1_micro,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_21_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed21_history_default_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_23_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_D0020_seed23_history_default_unitbox,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_gradient_numerical_current_split_alpha_init_intact_D0020_seed2,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_current_split_tmEpsR_1em05_gradient_numerical_full_seed2_micro,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_gradient_numerical_full_seed2_history_D0020,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_gradient_numerical_history_alpha_init_intact_D0020_seed2,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_0_lbfgs_0_gradient_numerical_step0_budget_rprop0,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_100_lbfgs_0_gradient_numerical_step0_budget_rprop100,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_10_lbfgs_0_gradient_numerical_step0_budget_rprop10,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_rprop_1_lbfgs_0_gradient_numerical_step0_budget_rprop1,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_stg1_gradient_numerical_s2,dir,root training/checkpoint result directory,generated training result folder to delete
full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_2_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topU_free_gradient_numerical_history_alpha_intact_topu_free_D0020_seed2,dir,root training/checkpoint result directory,generated training result folder to delete
