path,type,classification,action,reason,tracked_by_git_if_known
.codex_resources_true_staggered_full.json,file,generated debug CSV/NPZ/output file to delete,delete,temporary agent resource marker,not_applicable_real_project_not_git_repo
.gitignore,file,source code to keep,keep,formal source/input file,not_applicable_real_project_not_git_repo
.pytest_cache,dir,cache folder to delete,delete,cache folder,not_applicable_real_project_not_git_repo
__pycache__,dir,cache folder to delete,delete,cache folder,not_applicable_real_project_not_git_repo
ALPHA_INIT_INTACT_COMPARISON_REPORT.md,file,documentation to keep,keep,documentation/report retained for context,not_applicable_real_project_not_git_repo
alpha_init_intact_final_comparison.csv,file,generated debug CSV/NPZ/output file to delete,delete,root generated diagnostic summary,not_applicable_real_project_not_git_repo
alpha_init_intact_stepwise_comparison.csv,file,generated debug CSV/NPZ/output file to delete,delete,root generated diagnostic summary,not_applicable_real_project_not_git_repo
alpha_initialization.py,file,source code to keep,keep,formal source/input file,not_applicable_real_project_not_git_repo
analyze_drive_broadening_stepwise.py,file,one-off debug script to delete,delete,one-off root diagnostic script,not_applicable_real_project_not_git_repo
compute_energy_mixed_tm.py,file,source code to keep,keep,formal source/input file,not_applicable_real_project_not_git_repo
config.py,file,source code to keep,keep,formal source/input file,not_applicable_real_project_not_git_repo
coordnorm2x2_runlogs,dir,generated log folder to delete,delete,root log directory,not_applicable_real_project_not_git_repo
corrected_reaction_postprocess.py,file,obsolete compatibility wrapper to delete or deprecate,delete,old user-facing wrapper replaced by functional script name,not_applicable_real_project_not_git_repo
debug_alpha_eq_current_intact_mechanics.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_alpha_eq_elastic_only_He_current.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_alpha_eq_history_intact_mechanics.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_alpha_eq_history_intact_topu_free_mechanics.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_alpha_equilibrium_from_drive.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
debug_alpha_initial_state.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
debug_alpha_initial_state_default.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_alpha_initial_state_intact.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_boundary_notch_lips.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_boundary_notch_lips.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
debug_boundary_topu_fixed.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_boundary_topu_free.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_coord_normalization_mechanics_validation.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
debug_elastic_only_pinn.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_elastic_only_pinn.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
debug_elastic_only_pinn_fields.npz,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_exact_fe_elastic_solve.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
debug_exact_fe_target_prefit.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
debug_fedof_energy_baseline.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
debug_fedof_energy_baseline_alpha_train.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_fedof_energy_baseline_alpha_train_fields.npz,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_fedof_energy_baseline_alpha_zero.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_fedof_energy_baseline_alpha_zero_fields.npz,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_fedof_energy_baseline_alpha_zero_topufree.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_fedof_energy_baseline_alpha_zero_topufree_fields.npz,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_fedof_staggered_baseline.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
debug_fixed_uv_alpha_only.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
debug_fixed_uv_alpha_only_elastic_no_prox.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_fixed_uv_alpha_only_elastic_no_prox_fields.npz,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_fixed_uv_alpha_only_elastic_prox_eta0p01.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_fixed_uv_alpha_only_elastic_prox_eta0p01_fields.npz,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_fixed_uv_alpha_only_history_intact_no_prox.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_fixed_uv_alpha_only_history_intact_no_prox_fields.npz,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_global_anchor_energy_continuation.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
debug_mechanics_only_notch_ansatz.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
debug_pinn_prefit_fedof_mechanics.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
debug_prefit_then_energy_mechanics.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
debug_recompute_current_split.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_recompute_current_split_alpha_init_intact_D0020_seed2.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_recompute_he_current.py,file,one-off debug script to delete,delete,one-off root debug script,not_applicable_real_project_not_git_repo
debug_recompute_history.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_recompute_history_alpha_init_intact_D0020_seed2.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
debug_recompute_history_alpha_intact_topu_free_D0020_seed2.csv,file,generated debug CSV/NPZ/output file to delete,delete,root debug output,not_applicable_real_project_not_git_repo
